Австрия	Александр Ван дер Беллен	
Албания	Илир Мета
Белоруссия	Александр Лукашенко
Бельгия	Филипп
Болгария	Румен Радев
Великобритания	Елизавета
Великобритания	Тереза Мэй
Венгрия	Янош Адер
Германия	Франк-Вальтер Штайнмайер
Германия	Ангела Меркель
Греция	Прокопис Павлопулос
Греция	Алексис Ципрас
Дания	Маргрете
Ирландия	Майкл Хиггинс
Исландия	Гвюдни Йоуханнессон
Испания	Филипп
Испания	Мариано Рахой
Италия	Серджо Маттарелла
Италия	Паоло Джентилони
Латвия	Даля Грибаускайте
Нидерланды	Виллем-Александр
Польша	Анджей Дуда
Россия	Владимир Путин
Россия	Дмитрий Медведев
Сербия	Александр Вучич
Сербия	Ана Брнабич
Украина	Пётр Порошенко
Финляндия	Саули Нийнистё
Франция	Эмманюэль Макрон
Чехия	Милош Земан
Швейцария	Дорис Лойтхард
Азербайджан	Ильхам Алиев
Афганистан	Ашраф Гани
Бангладеш	Абдул Хамид
Грузия	Георгий Маргвелашвили
Израиль	Реувен Ривлин	
Исландия	Рам Натх Ковинд
Индонезия	Джоко Видодо
Иордания	Абдалла
Ирак	Фуад Масум
Иран	Али Хаменеи
Казахстан	Нурсултан Назарбаев
Кипр	Никос Анастасиадис
Киргизия	Алмазбек Атамбаев
Китай	Си Цзиньпин
Северная Корея	Ким Чен Ын
Сирия	Башар Асад
Таджикистан	Эмомали Рахмон
Турция	Реджеп Тайип Эрдоган
Египет	Абдул-Фаттах Ас-Сиси
Венесуэла	Николас Мадуро
Куба	Рауль Кастро
Мексика	Энрике Пенья Ньето
США	Дональд Трамп
США Обама
США	Барак Обама			






		




